ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal,lat,lng
17737,"Milton Gray ""Milt"" Campbell",M,22.0,190.0,94.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Decathlon,Gold,28.1086,-80.6627
17437,Lee Quincy Calhoun,M,23.0,185.0,75.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 110 metres Hurdles,Gold,28.1086,-80.6627
17312,Carl Cecil Cain,M,22.0,190.0,86.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold,28.1086,-80.6627
15015,"Elizabeth Evadna ""Betty"" Brey (Mullen-)",F,24.0,165.0,59.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,28.1086,-80.6627
14863,George Thomas Breen,M,21.0,183.0,83.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,28.1086,-80.6627
14863,George Thomas Breen,M,21.0,183.0,83.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,28.1086,-80.6627
14863,George Thomas Breen,M,21.0,183.0,83.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 400 metres Freestyle,Bronze,28.1086,-80.6627
14332,"James Felton ""Jim"" Boyd",M,25.0,180.0,79.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Boxing,Boxing Men's Light-Heavyweight,Gold,28.1086,-80.6627
14153,"Richard James ""Dick"" Boushka",M,22.0,195.0,95.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold,28.1086,-80.6627
22706,"Richard Carroll ""Dick"" Connor",M,22.0,167.0,64.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Diving,Diving Men's Platform,Bronze,28.1086,-80.6627
35398,"Conrad Francis ""Conn"" Findlay",M,26.0,198.0,90.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Pairs,Gold,28.1086,-80.6627
36233,"Gilbert ""Gib"" Ford",M,25.0,193.0,91.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold,28.1086,-80.6627
38750,"James Arthur ""Jim"" Gardiner",M,26.0,183.0,79.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Double Sculls,Silver,28.1086,-80.6627
76095,"Jesse William ""John"" Mashburn",M,23.0,189.0,85.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,28.1086,-80.6627
76011,John Marvin,M,29.0,185.0,77.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Sailing,Sailing Mixed One Person Dinghy,Bronze,28.1086,-80.6627
74491,Shelley Isabel Mann,F,19.0,172.0,61.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 100 metres Butterfly,Gold,28.1086,-80.6627
